Complaint Id,Randomized Officer Id,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
200000003,31482,Substantiated (Command Discipline),,,No,,,,,,
200000003,56081,Substantiated (Command Discipline),,,No,,,,,,
200000036,12737,Substantiated (Command Discipline),,,No,,,,,,
200000036,12739,Substantiated (Command Discipline),,,No,,,,,,
200000036,40939,Substantiated (Command Discipline),,,No,,,,,,
200000045,71436,Substantiated (Charges),,03/28/2003,No,,,,,,
200000101,39788,Substantiated (Charges),,,No,,,,,,
200000118,54763,Substantiated (Command Discipline),,,No,,,,,,
200000190,59277,Substantiated (Charges),,,No,,,,,,
200000239,27937,Substantiated (Command Discipline),,,No,,,,,,
200000254,60947,Substantiated (Command Discipline),,,No,,,,,,
200000281,71658,Substantiated (Command Discipline),,,No,,,,,,
200000292,49098,Substantiated (Charges),,,No,,,,,,
200000292,49228,Substantiated (Charges),,,No,,,,,,
200000327,28803,Substantiated (Command Discipline),,,No,,,,,,
200000387,35380,Substantiated (Instructions),,,No,,,,,,
200000491,82566,Substantiated (Charges),,,No,,,,,,
200000569,28785,Substantiated (Instructions),,,No,,,,,,
200000569,87251,Substantiated (Instructions),,,No,,,,,,
200000628,8386,Substantiated (Command Discipline),,,No,,,,,,
200000628,56373,Substantiated (Command Discipline),,,No,,,,,,
200000712,23570,Substantiated (Charges),,,No,,,,,,
200000757,45229,Substantiated (Charges),,07/28/2003,No,,,,,,Instructions
200000757,61389,Substantiated (Charges),,07/28/2003,No,,,,,,
200000798,30389,Substantiated (Charges),,,No,,,,,,
200000991,34785,Substantiated (Charges),,,No,,,,,,
200000992,40213,Substantiated (Charges),,,No,,,,,,
200001002,21022,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 90 days
200001003,24993,Substantiated (Command Discipline),,01/28/2003,No,,,,,,
200001003,67703,Substantiated (Command Discipline),,01/28/2003,No,,,,,,
200001015,36288,Substantiated (Command Discipline),,,No,,,,,,
200001123,19496,Substantiated (Charges),,,No,,,,,,
200001196,31684,Substantiated (Charges),,,No,,,,,,
200001199,65265,Substantiated (Command Discipline),,,No,,,,,,
200001216,11011,Substantiated (Charges),,,No,,,,,,
200001262,82593,Substantiated (Charges),,,No,,,,,,
200001287,61466,Substantiated (Charges),,,No,,,,,,
200001435,34086,Substantiated (Command Discipline),,,No,,,,,,
200001435,82035,Substantiated (Command Discipline),,,No,,,,,,
200001439,53431,Substantiated (Charges),,,No,,,,,,
200001445,25599,Substantiated (Command Discipline),,,No,,,,,,
200001445,47945,Substantiated (Command Discipline),,,No,,,,,,
200001480,60902,Substantiated (Command Discipline),,,No,,,,,,
200001542,4715,Substantiated (Command Discipline),,,No,,,,,,
200001560,39531,Substantiated (Charges),,,No,,,,,,
200001560,59176,Substantiated (Charges),,,No,,,,,,
200001655,19035,Substantiated (Charges),,,No,,,,,,
200001655,55937,Substantiated (Charges),,,No,,,,,,
200001668,58823,Substantiated (Instructions),,,No,,,,,,
200001691,14896,Substantiated (Instructions),,,No,,,,,,
200001865,86770,Substantiated (Charges),,11/28/2003,No,,,,,,
200001912,57828,Substantiated (Charges),,,No,,,,,,
200001913,70949,Substantiated (Charges),,,No,,,,,,
200001946,29161,Substantiated (Command Discipline),,,No,,,,,,
200001946,30032,Substantiated (Command Discipline),,,No,,,,,,
200002041,14663,Substantiated (Charges),,,No,,,,,,
200002050,19419,Substantiated (Charges),,05/28/2003,No,,,,,,Vacation: 5 days
200002050,21430,Substantiated (Charges),,05/28/2003,No,,,,,,
200002098,80052,Substantiated (Command Discipline),,,No,,,,,,
